"Time","kWh"
2022-10-28 04:28:20,43.38
2022-10-28 04:36:51,43.39
2022-10-28 04:44:20,43.40
2022-10-28 04:52:51,43.41
2022-10-28 04:59:50,43.42
2022-10-28 05:08:50,43.43
2022-10-28 05:15:50,43.44
2022-10-28 05:24:51,43.45
2022-10-28 05:31:50,43.46
2022-10-28 05:39:50,43.47
2022-10-28 05:48:20,43.48
2022-10-28 05:55:51,43.49
2022-10-28 06:04:20,43.50
2022-10-28 06:11:51,43.51
2022-10-28 06:20:21,43.52
2022-10-28 06:27:51,43.53
2022-10-28 06:36:21,43.54
2022-10-28 06:44:21,43.55
2022-10-28 06:51:51,43.56
2022-10-28 07:00:51,43.57
2022-10-28 07:07:51,43.58
2022-10-28 07:16:51,43.59
2022-10-28 07:23:51,43.60
2022-10-28 07:32:51,43.61
2022-10-28 07:39:51,43.62
2022-10-28 07:48:51,43.63
2022-10-28 07:56:21,43.64
2022-10-28 08:03:51,43.65
2022-10-28 08:12:21,43.66
2022-10-28 08:19:21,43.67
2022-10-28 08:28:21,43.68
2022-10-28 08:35:21,43.69
2022-10-28 08:43:51,43.70
2022-10-28 08:51:21,43.71
2022-10-28 08:59:21,43.72
2022-10-28 09:07:51,43.73
2022-10-28 09:14:51,43.74
2022-10-28 09:23:51,43.75
2022-10-28 09:30:51,43.76
2022-10-28 09:39:21,43.77
2022-10-28 09:46:21,43.78
2022-10-28 09:54:51,43.79
2022-10-28 10:02:51,43.80
2022-10-28 10:09:51,43.81
2022-10-28 10:18:51,43.82
2022-10-28 10:25:51,43.83
2022-10-28 10:34:21,43.84
2022-10-28 10:41:21,43.85
2022-10-28 10:50:21,43.86
2022-10-28 10:57:21,43.87
2022-10-28 11:04:51,43.88
2022-10-28 11:10:51,43.89
2022-10-28 11:16:21,43.90
2022-10-28 11:22:51,43.91
2022-10-28 11:27:52,43.92
2022-10-29 12:12:55,43.94
2022-10-29 12:13:25,44.28
2022-10-29 12:13:55,44.63
2022-10-29 12:14:25,44.97
2022-10-29 12:14:55,45.08
2022-10-29 12:15:25,45.26
2022-10-29 12:15:55,45.27
2022-10-29 12:16:25,45.41
2022-10-29 12:16:55,45.42
2022-10-29 12:17:25,45.53
2022-10-29 12:18:25,45.62
2022-10-29 12:19:25,45.73
2022-10-29 12:19:55,45.85
2022-10-29 12:20:25,46.19
2022-10-29 12:20:55,46.49
2022-10-29 12:21:25,46.65
2022-10-29 12:21:55,46.69
2022-10-29 12:22:25,46.87
2022-10-29 12:22:55,47.03
2022-10-29 12:23:25,47.04
2022-10-29 12:23:55,47.18
2022-10-29 12:24:25,47.33
2022-10-29 12:24:55,47.34
2022-10-29 12:25:25,47.48
2022-10-29 12:25:55,47.51
2022-10-29 12:26:25,47.62
2022-10-29 12:26:55,47.71
2022-10-29 12:27:25,47.80
2022-10-29 12:27:55,47.85
2022-10-29 12:28:25,47.97
2022-10-29 12:29:25,48.09
2022-10-29 12:29:55,48.10
2022-10-29 12:36:25,48.11
2022-10-29 12:41:25,48.12
2022-10-29 12:47:25,48.21
2022-10-29 12:47:55,48.56
2022-10-29 12:48:25,48.90
2022-10-29 12:48:55,49.24
2022-10-29 12:49:25,49.58
2022-10-29 12:49:55,49.73
2022-10-29 12:50:25,49.86
2022-10-29 12:50:55,50.05
2022-10-29 12:51:25,50.23
2022-10-29 12:51:55,50.25
2022-10-29 12:52:25,50.40
2022-10-29 12:52:55,50.49
2022-10-29 12:53:25,50.55
2022-10-29 12:53:55,50.68
2022-10-29 12:54:25,50.83
2022-10-29 12:54:55,50.84
2022-10-29 12:55:25,50.98
2022-10-29 12:56:25,51.11
2022-10-29 12:56:55,51.23
2022-10-29 12:57:25,51.24
2022-10-29 12:57:55,51.35
2022-10-29 12:58:25,51.37
2022-10-29 12:58:55,51.45
2022-10-29 12:59:25,51.46
2022-10-29 12:59:55,51.56
2022-10-29 13:00:25,51.57
2022-10-29 13:02:55,51.83
2022-10-29 13:03:25,52.17
2022-10-29 13:03:55,52.51
2022-10-29 13:04:25,52.67
2022-10-29 13:04:55,52.85
2022-10-29 13:05:25,52.92
2022-10-29 13:05:55,52.96
2022-10-29 13:06:25,53.11
2022-10-29 13:06:55,53.27
2022-10-29 13:07:25,53.31
2022-10-29 13:07:55,53.43
2022-10-29 13:08:25,53.57
2022-10-29 13:10:25,53.58
2022-10-29 13:16:25,53.59
2022-10-29 13:21:25,53.60
2022-10-29 13:27:55,53.61
2022-10-29 13:33:55,53.62
2022-10-30 16:52:34,53.62
2022-10-31 13:15:19,53.69
2022-10-31 13:15:49,53.81
2022-10-31 13:16:19,54.15
2022-10-31 13:16:50,54.49
2022-10-31 13:17:19,54.83
2022-10-31 13:17:49,55.14
2022-10-31 13:18:19,55.22
2022-10-31 13:18:49,55.32
